Comments,objectid,barcode_id,RunId_12SVert,RunId_trnL,DateRun,DateFirstAnalyzed,Reads_12SVert,ESVs_12SVert,Reads_trnL,ESVs_trnL,country,name_of_park,location,location_other,date,year,time,latitude,longitude,habitat_final,habitat,habitat_other,has_it_rained_in_the_past_week,sample_type,species_id,species_id_dna,species_id_dna_common,species_id_other,faecal_age,faecal_age_other,faecal_texture,species_sex,species_age,latrine,swab,swab_barcode_id,collector,notes,kafue_section,znp_written_ID,znp_assumption
,1109,S060475,JV328,JV328,2025-04-02 00:00:00,,5595,1,28875,47,angola,iona,park,,2024-08-01 00:00:00,2024,0.49305555555555558,-16.29444502,12.55229887,shrubland,shrubland,Shrubland,no,faecal,donkey,Equus asinus,Donkey,,<24hr,,soft,unknown,unknown,no,no,,MD,,,,
,917,S060491,JV328,JV327,2025-04-02 00:00:00,,20811,1,119932,95,angola,iona,park,,2024-07-22 00:00:00,2024,0.35972222222222222,-16.81671421,12.72032999,shrubland,shrubland,Shrubland,no,faecal,springbok,Antidorcas marsupialis,Springbok,,<24hr,,soft,unknown,unknown,no,no,,MF,,,,
,1115,S060502,JV328,JV327,2025-04-02 00:00:00,,18126,1,44887,46,angola,iona,park,,2024-08-01 00:00:00,2024,0.39097222222222222,-16.65072321,12.37956208,shrubland,shrubland,Shrubland,no,faecal,springbok,Antidorcas marsupialis,Springbok,,<24hr,,soft,unknown,unknown,no,no,,MIC,,,,
,1456,S060509,JV328,JV328,2025-04-02 00:00:00,,18660,1,26844,29,angola,iona,park,,2024-08-14 00:00:00,2024,0.47638888888888886,-16.99584328,12.23146328,desert_gravelplain,desert_gravelplain,Gravel plain,no,faecal,cow,Bos taurus,Domestic Cow,,<24hr,,soft,unknown,unknown,no,no,,MD,,,,
,3545,S060515,JV328,JV327,2025-04-02 00:00:00,,19068,1,65910,30,angola,iona,control,,2024-09-05 00:00:00,2024,0.50972222222222219,-15.77490334,12.34082542,shrubland,shrubland,Shrubland,no,faecal,donkey,Bos taurus,Domestic Cow,,<24hr,,soft,unknown,unknown,no,no,,MIC,,,,
,3597,S060542,JV328,JV327,2025-04-02 00:00:00,,15485,2,106984,116,angola,iona,control,,2024-09-05 00:00:00,2024,0.40208333333333335,-16.01742807,12.51515216,shrubland,shrubland,Shrubland,no,faecal,goat,Capra hircus,Domestic Goat,,<24hr,,soft,unknown,unknown,no,no,,MIC,,,,
,3596,S060549,JV328,JV328,2025-04-02 00:00:00,,16846,1,30304,40,angola,iona,control,,2024-09-05 00:00:00,2024,0.39861111111111114,-16.01750169,12.51510634,shrubland,shrubland,Shrubland,no,faecal,donkey,Bos taurus,Domestic Cow,,<24hr,,soft,unknown,unknown,no,no,,MD,,,,
,1113,S060559,JV328,JV328,2025-04-02 00:00:00,,15392,6,27833,49,angola,iona,park,,2024-08-01 00:00:00,2024,0.38750000000000001,-16.6506525,12.37943423,shrubland,shrubland,Shrubland,no,faecal,springbok,Antidorcas marsupialis,Springbok,,<24hr,,soft,unknown,unknown,no,no,,MIC,,,,
,954,S060560,JV328,JV328,2025-04-02 00:00:00,,12329,1,28072,47,angola,iona,control,,2024-07-24 00:00:00,2024,0.55277777777777781,-16.17453135,12.52320868,shrubland,shrubland,Shrubland,no,faecal,springbok,Antidorcas marsupialis,Springbok,,1-2_days,,hard,male,unknown,yes,no,,Sc,,,,
,168,S060640,JV328,JV327,2025-04-02 00:00:00,,19490,5,92254,75,angola,iona,park,,2023-10-20 00:00:00,2023,0.47708333333333336,-16.51672,12.44049,desert_grassplain,desert_grassland,Savanna,no,faecal,springbok,Antidorcas marsupialis,Springbok,,<24hr,,unknown,Unknown,unknown,no,no,,MC,,,,
